Date,Close,DateStr
2024-06-10,4025.022216796875,2024-06-10
2024-06-11,3970.1357421875,2024-06-11
2024-06-12,3979.28369140625,2024-06-12
2024-06-13,3942.6923828125,2024-06-13
2024-06-14,3823.771240234375,2024-06-14
2024-06-19,3750.5888671875,2024-06-19
2024-06-20,3906.101318359375,2024-06-20
2024-06-21,4061.613525390625,2024-06-21
2024-06-24,4025.022216796875,2024-06-24
2024-06-25,4006.726806640625,2024-06-25
2024-06-26,3997.578857421875,2024-06-26
2024-06-27,4079.90869140625,2024-06-27
2024-06-28,4207.9775390625,2024-06-28
2024-07-01,4235.42138671875,2024-07-01
2024-07-02,4180.5341796875,2024-07-02
2024-07-03,4207.9775390625,2024-07-03
2024-07-04,4381.78564453125,2024-07-04
2024-07-05,4390.93359375,2024-07-05
2024-07-08,4345.1943359375,2024-07-08
2024-07-09,4454.9677734375,2024-07-09
2024-07-10,4436.67236328125,2024-07-10
2024-07-11,4427.52490234375,2024-07-11
2024-07-12,4482.4111328125,2024-07-12
2024-07-15,4409.22900390625,2024-07-15
2024-07-16,4326.89892578125,2024-07-16
2024-07-17,4354.34228515625,2024-07-17
2024-07-18,4473.26318359375,2024-07-18
2024-07-19,4482.4111328125,2024-07-19
2024-07-22,4491.55908203125,2024-07-22
2024-07-23,4381.78564453125,2024-07-23
2024-07-24,4372.6376953125,2024-07-24
2024-07-25,4299.4560546875,2024-07-25
2024-07-26,4354.34228515625,2024-07-26
2024-07-29,4372.6376953125,2024-07-29
2024-07-30,4272.01220703125,2024-07-30
2024-07-31,4272.01220703125,2024-07-31
2024-08-01,4345.1943359375,2024-08-01
2024-08-02,4308.603515625,2024-08-02
2024-08-05,4143.943359375,2024-08-05
2024-08-06,4207.9775390625,2024-08-06
2024-08-07,4226.2734375,2024-08-07
2024-08-08,4262.86474609375,2024-08-08
2024-08-09,4272.01220703125,2024-08-09
2024-08-12,4281.16015625,2024-08-12
2024-08-13,4317.7509765625,2024-08-13
2024-08-14,4409.22900390625,2024-08-14
2024-08-15,4418.376953125,2024-08-15
2024-08-16,4418.376953125,2024-08-16
2024-08-19,4409.22900390625,2024-08-19
2024-08-20,4528.14990234375,2024-08-20
2024-08-21,4665.36669921875,2024-08-21
2024-08-22,4619.6279296875,2024-08-22
2024-08-23,4711.10595703125,2024-08-23
2024-08-26,4848.322265625,2024-08-26
2024-08-27,4733.97509765625,2024-08-27
2024-08-28,4711.10595703125,2024-08-28
2024-08-29,4688.23583984375,2024-08-29
